pair_id,adr_ticker,underlying_ticker,open_date,close_date,duration_days,adr_open_price,adr_cover_price,local_open_price_usd,local_close_price_usd,local_return,adr_return,roce,ruce,roll_cost_pct,borrow_cost,fx_open,fx_close,fx_pnl,roce_net,ruce_net,ruce_net_fx,close_reason,was_aborted,spans_adj_change
696046__147535,696046,147535,2025-04-09,2025-04-16,7,17.588533963812,16.647101268093998,16.41375492373049,16.329995621952918,-0.005102994541271957,0.053525364743586865,0.04842237020231491,0.10194773494590177,0.013218,0.000192,0.0116009285,0.0117109732,0.009486,0.0482305893803971,0.10175595412398396,0.09240718860067071,convergence,False,False
696046__147535,696046,147535,2025-09-08,2025-09-10,2,16.722044894282,17.048714043811998,16.825245748840018,17.220431056826953,0.023487639579599033,-0.0195352393559056,0.003952400223693434,-0.015582839132212166,0.013218,5.5e-05,0.0113317013,0.0113292625,-0.000215,0.003897605703145488,-0.01563763365276011,-0.015417312016165734,convergence,False,False
696046__147535,696046,147535,2025-10-21,2025-10-29,8,17.339545713812,16.948318380234998,17.24636297378621,16.95932614551381,-0.016643325245368164,0.022562721078982294,0.00591939583361413,0.028482116912596424,0.013218,0.000219,0.0113922455,0.0112826062,-0.009624,0.005700217751422349,0.028262938830404642,0.037818757367297964,convergence,False,False
696046__147535,696046,147535,2025-12-04,2025-12-08,4,18.215974394282,17.791714848094,17.94568543842721,17.761909142714035,-0.010240695254785402,0.02329052165999838,0.013049826405212978,0.03634034806521136,0.013218,0.00011,0.0111179044,0.0111213665,0.000311,0.012940237364117087,0.03623075902411547,0.035922645296458194,convergence,False,False
696046__147535,696046,147535,2025-12-18,2025-12-23,5,19.102371568328998,18.645160822376,18.46709946342492,18.446395751917645,-0.0011211133371690823,0.023934763509209336,0.022813650172040255,0.04674841368124959,0.013218,0.000137,0.0111635804,0.0111341221,-0.002639,0.022676663870670393,0.04661142737987972,0.04925422881879876,convergence,False,False
932939__691938,932939,691938,2021-01-04,2021-01-06,2,25.408527195821,24.477988580821002,4.935847090536455,4.938709901552051,0.0005800039918346078,0.03662308357459804,0.03720308756643265,0.07382617114103068,0.032212000000000005,5.5e-05,0.7759458644,0.7769099866,0.001243,0.037148293045884705,0.07377137662048273,0.07252968657741053,convergence,False,False
932939__691938,932939,691938,2021-05-03,2021-05-20,17,21.720342284179,25.641700533607,4.113457325763702,5.007396027721206,0.21732052411447733,-0.18053851077127359,0.036782013343203745,-0.14375649742806984,0.032212000000000005,0.000466,0.7705941281,0.7733054943,0.003519,0.03631625991854621,-0.14422225085272738,-0.14849042397186155,convergence,False,False
932939__691938,932939,691938,2022-01-19,2022-01-21,2,20.7135757331965,20.314729125,3.879197713918874,3.876747339997425,-0.0006316702839499104,0.01925532381921344,0.018623653535263532,0.03787897735447697,0.032212000000000005,5.5e-05,0.7225957199,0.714081589,-0.011783,0.018568859014715586,0.03782418283392903,0.049739841923295225,convergence,False,False
932939__691938,932939,691938,2022-03-01,2022-03-03,2,24.650946567785997,23.926243547375503,4.767589776826765,4.554571258525592,-0.0446805468323985,0.02939858793729003,-0.015281958895108468,0.014116629042181562,0.032212000000000005,5.5e-05,0.7297406305,0.737082627,0.010061,-0.015336753415656414,0.014061834521633617,0.004546005733094775,convergence,False,False
932939__691938,932939,691938,2022-11-04,2022-11-15,11,14.57326717,17.806737875,2.8613067943630814,3.43347391623829,0.19996706504958034,-0.22187685625199446,-0.021909791202414125,-0.2437866474544086,0.032212000000000005,0.000301,0.647899019,0.6741042839,0.040447,-0.022211161065427823,-0.2440880173174223,-0.29073577725891625,convergence,False,False
932939__691938,932939,691938,2023-03-13,2023-03-21,8,19.218370483196498,20.876517158607,3.5664165213323282,4.123597060960609,0.1562297999393889,-0.08627925436551952,0.06995054557386939,-0.01632870879165013,0.032212000000000005,0.000219,0.6681142922,0.668404295,0.000434,0.0697313674916776,-0.016547886873841913,-0.017049544152130183,convergence,False,False
932939__691938,932939,691938,2023-03-30,2023-04-12,13,24.072798544178998,27.056211611393003,4.5442593410132694,5.435122236252143,0.19604138505005103,-0.12393295535368569,0.07210842969636534,-0.05182452565732035,0.032212000000000005,0.000356,0.6686054889,0.6781040212,0.014206,0.0717522653128037,-0.052180690040881994,-0.06893422249734857,convergence,False,False
