pair_id,adr_ticker,underlying_ticker,status,n_days,adr_zero_return_pct,loc_zero_return_pct,adr_max_stale_run_days,loc_max_stale_run_days,zero_return_spread_fraction,flagged,flag_reason
54235U__906764,54235U,906764,ok,1095,0.0037,0.0055,2,1,0.007,False,
54238E__904001,54238E,904001,ok,1072,0.0261,0.0075,2,1,0.0217,False,
54238F__932322,54238F,932322,ok,2274,0.0123,0.0273,2,2,0.0331,False,
54279V__27962U,54279V,27962U,ok,922,0.0109,0.0217,1,1,0.0299,False,
54310V__87956M,54310V,87956M,ok,605,0.0182,0.053,1,2,0.0464,False,
54310V__981800,54310V,981800,ok,1156,0.0182,0.0286,2,2,0.047,False,
54314R__944418,54314R,944418,ok,669,0.0195,0.0659,1,3,0.0495,False,
54319F__771681,54319F,771681,ok,2290,0.0087,0.0454,2,3,0.0515,False,
54326F__30224F,54326F,30224F,ok,748,0.0107,0.1098,1,7,0.0923,True,['loc_stale_run>5']
54338Q__675705,54338Q,675705,ok,2144,0.0051,0.0093,1,2,0.0121,False,
54338V__29168W,54338V,29168W,ok,1164,0.0189,0.0628,1,3,0.0748,False,
54339E__898285,54339E,898285,ok,923,0.0098,0.0748,1,2,0.0648,False,
54339N__297127,54339N,297127,ok,2936,0.0187,0.1118,2,5,0.1041,False,
54350L__904660,54350L,904660,ok,1687,0.0154,0.0178,2,1,0.0255,False,
54362F__916504,54362F,916504,ok,1679,0.0072,0.0262,1,2,0.027,False,
54366J__930819,54366J,930819,ok,1593,0.0069,0.0245,1,2,0.0394,False,
54390R__26568P,54390R,26568P,ok,2618,0.0172,0.0149,2,2,0.0263,False,
54394H__932153,54394H,932153,ok,1441,0.0083,0.0243,1,2,0.0229,False,
54444M__932127,54444M,932127,ok,3532,0.0099,0.0136,2,2,0.0154,False,
54463R__916515,54463R,916515,ok,1097,0.0246,0.0255,2,2,0.0379,False,
54468C__906299,54468C,906299,ok,1062,0.0198,0.0179,1,1,0.0306,False,
54612K__315872,54612K,315872,ok,610,0.0099,0.0246,1,1,0.0208,False,
54633R__871051,54633R,871051,ok,3028,0.0036,0.0056,1,2,0.0043,False,
54638C__932152,54638C,932152,ok,709,0.0113,0.0198,1,1,0.0228,False,
54692V__503060,54692V,503060,ok,611,0.0049,0.023,2,2,0.0331,False,
547520__936485,547520,936485,ok,2674,0.0112,0.0172,1,2,0.0144,False,
54761N__502586,54761N,502586,ok,2461,0.0126,0.0537,2,4,0.0486,False,
54781N__502592,54781N,502592,ok,533,0.0207,0.0526,1,2,0.0193,False,
670845__362033,670845,362033,ok,3590,0.0086,0.0404,1,6,0.0345,True,['loc_stale_run>5']
67219N__51065C,67219N,51065C,ok,526,0.0267,0.0781,2,2,0.0661,False,
67475X__50378R,67475X,50378R,ok,616,0.0195,0.265,2,133,0.1738,True,['loc_stale_run>5']
674991__147506,674991,147506,ok,1867,0.1367,0.0402,7,2,0.1013,True,['adr_stale_run>5']
677521__675585,677521,675585,ok,3479,0.0063,0.0348,1,2,0.03,False,
68923D__68039H,68923D,68039H,ok,3547,0.0107,0.0302,1,1,0.0306,False,
